n_tests,μ,σ,yield_post_pred
1,293.23032405848517,5.0794118815853135,291.78154918067145
1,295.62307493766986,10.007082564339381,292.7688055542432
1,288.8500026764908,9.882236798526346,286.0313424173738
1,282.64892638537054,12.4580260096038,279.09558683925155
1,293.72728409199397,27.09868775225216,285.9980628844143
1,263.7690437449903,15.280875151543178,259.4105572613831
1,359.1204430557188,22.674212776555784,352.6531923954663
1,339.660557447703,36.82471318206094,329.15723135708197
1,301.6799830239566,36.8817925256701,291.1603764817811
1,302.0792893187195,13.157975094677234,298.326306846639
1,307.1897589775417,8.823067356507067,304.67320024409713
1,295.39741535028054,11.58562110819251,292.09290742756826
1,287.3891259654197,6.4982704926803105,285.53565724531757
1,290.29551420927396,5.181319920833771,288.8176726185115
1,290.29551420927396,5.181319920833771,288.8176726185115
1,301.70157418556556,8.21559233984284,299.35828246876775
1,303.4612279670199,8.620159620416326,301.0025435775772
1,291.52467139314973,14.95059568074325,287.2603888471454
1,297.0224251366076,8.611159403545814,294.5663078333554
1,289.4419303165292,5.066189330684279,287.99692683981715
1,295.430339098906,8.04153928391332,293.13669165209774
1,308.04314428477886,9.621809682246212,305.2987643306192
1,298.4484536504517,16.102151107278218,293.85571879318235
1,291.42586102052246,3.4958756957926513,290.42875013404654
1,291.42586102052246,3.4958756957926513,290.42875013404654
1,291.42586102052246,3.4958756957926513,290.42875013404654
1,291.42586102052246,3.4958756957926513,290.42875013404654
1,291.42586102052246,3.4958756957926513,290.42875013404654
1,295.1684729416444,8.44392957963854,292.7600537525334
1,292.8108193751798,5.492621503776497,291.2441868134732
1,290.965509500485,12.299088926635301,287.45750277208697
1,295.90990086761815,7.275454335609647,293.83475994346406
1,308.94588510322245,12.45782892227845,305.3926017713212
1,282.8364831936825,12.5391327439922,279.2600099852532
1,298.63335305357333,9.850997489108742,295.8236030241718
1,312.1392344669872,15.16949947653756,307.81251510203646
1,301.56270340479585,11.172004277572393,298.3761693119704
1,280.5264006716421,15.148516593563132,276.20566614793404
1,311.75001590009765,18.50017624122138,306.47330450156414
1,285.93430660867966,8.276185606755002,283.57373218181357
1,308.54644076808984,39.17673104737253,297.3722605559934
1,309.66487725917256,11.819745866485045,306.2935911196123
1,304.2410988849289,8.584318519526288,301.79263727083367
1,300.6627368281468,6.456350118311065,298.82122484372013
1,287.3006179258184,11.933273591429929,283.8969508493171
1,307.830490390153,9.92174212300582,305.00056222778653
1,291.26827030195903,3.2681353994648625,290.3361166246399
1,291.26827030195903,3.2681353994648625,290.3361166246399
1,295.60284986587516,3.4339651814613275,294.62339740126515
1,295.60284986587516,3.4339651814613275,294.62339740126515
1,295.60284986587516,3.4339651814613275,294.62339740126515
1,295.60284986587516,3.4339651814613275,294.62339740126515
1,295.60284986587516,3.4339651814613275,294.62339740126515
1,282.40239122559507,4.929535059990145,280.996364953123
1,291.5503709312754,5.898779183612564,289.86789207541204
1,295.1861591483039,4.899247657349634,293.7887715980073
1,295.1861591483039,4.899247657349634,293.7887715980073
1,295.1861591483039,4.899247657349634,293.7887715980073
1,285.5212581539253,12.85913941193975,281.853511067326
1,293.38825925634575,4.509385528669207,292.1020701028342
1,293.129879989504,10.097350685017648,290.24986388804086
1,293.129879989504,10.097350685017648,290.24986388804086
1,279.79442544131615,7.56096612612255,277.63784943785413
1,278.6402927801517,8.832716685124065,276.1209818176668
1,302.3929584325613,14.354796006155864,298.29861280462444
1,324.10154114800144,38.578293094298495,313.09805035675845
1,353.71839415610214,49.48800468509,339.603181684199
1,309.00600895717724,7.09195395121617,306.98320691657426
1,296.22110579545074,17.462562784636503,291.24034761824026
1,296.5301613038647,6.232508770256352,294.7524944513623
1,293.8891376860297,4.727594880786478,292.5407097862181
1,292.2145303398525,4.5324773836170165,290.92175481372334
1,293.3746368544922,5.233094518394705,291.88202785797415
1,298.18910927090917,19.076508444373843,292.74801356240675
