a_opt,u_opt,stress_meas,strength_meas,SCF_meas
strengthen,0.05160192289238874,65.17522349400663,417.97296582616633,
no_action,0.04401740320000003,61.27254310820109,402.47633030417353,
no_action,0.009532509000000022,42.15414919487506,410.15338300684635,
no_action,0.019090638400000026,50.90877334493399,422.7819209952706,
no_action,0.03217578860000003,57.56679418821392,414.53760303703467,
no_action,0.015339084199999964,47.82309062601128,419.05673994524386,
no_action,0.012865928800000037,46.817779155494335,437.775367987039,
no_action,0.01263512499999997,45.27865447844762,413.63041736181697,
no_action,0.01365662879999996,47.499103277732104,435.24946684722926,
no_action,0.024746559999999973,54.653024670696325,424.1585763979626,
no_action,0.03994226209999996,61.55047296319149,429.81821438486844,
strengthen,0.06418692187044378,76.32478539125665,431.0187780925593,
no_action,0.017722992199999954,50.39569909221597,427.61532413243697,
no_action,0.02971446150000001,57.33854588050383,429.6808922639517,
no_action,0.038839466800000055,59.45824393906364,401.3112590364148,
no_action,0.017406589599999966,48.44305605472264,402.2917373506111,
no_action,0.017258825900000052,49.865566429358964,425.74776156069726,
no_action,0.050030886399999974,63.70127106583577,411.259449689769,
no_action,0.04557764399999997,64.40791257814541,453.224205413948,
strengthen,0.05100895671226956,64.78300731908976,422.2031030302953,
no_action,0.011332942000000013,43.89142967685631,410.6193957141252,
no_action,0.03160474319999995,58.49543910531762,435.39293853193965,
no_action,0.04196276560000001,62.72824716752415,440.145027909159,
no_action,0.02156546530000003,51.40743721079705,401.83107889332314,
no_action,0.033236029,58.26057476751806,417.97193831745943,
no_action,0.020960192899999952,51.65208208325685,415.92841213074774,
no_action,0.006570521300000021,38.5299734036105,409.07140423027465,
strengthen,0.056908343614477115,70.22412950724564,419.7851307449058,
no_action,0.02830484720000004,55.3215757344554,408.3647403049501,
no_action,0.020856886400000052,52.13325695521452,422.4049498786189,
no_action,0.017679306999999977,49.3152081866692,414.27074579086866,
no_action,0.015800378400000037,49.031271481992604,433.64463310216644,
no_action,0.029014145200000008,57.11152609096769,430.1010113656673,
no_action,0.02820060999999996,56.436289189393094,426.56945606143506,
no_action,0.0038027421999999866,34.54089575860403,414.0634386683908,
no_action,0.025984490499999957,55.54410541540529,428.60035744361187,
no_action,0.012662569199999973,46.08267383077093,423.9967457461755,
no_action,0.024590705499999976,54.205133167856,418.10033273687884,
no_action,0.04068288149999999,61.00011472050173,417.85230311828553,
strengthen,0.05738431619851888,69.41813403513694,403.9827610807126,
no_action,0.024838821999999983,53.52713526935686,406.81179326198657,
no_action,0.04655468979999999,62.42262509513805,407.3785616986505,
no_action,0.038451931999999966,59.705923446488576,407.4176336468789,
