a_opt,u_opt,stress_meas,strength_meas,SCF_meas
no_action,0.00028399999999995096,,,2.841446230513806
no_action,0.0,,,1.0
no_action,1.4999999999987246e-5,,,2.1414477372105467
no_action,0.00046800000000002395,,,2.973416109438701
replace,0.08500000089406967,,,6.850542385165653
no_action,1.4999999999987246e-5,,,2.1691021512207205
replace,0.08500000089406967,,,6.27706802023809
no_action,4.000000000004e-6,,,1.8672541330529
no_action,0.011576999999999948,,,3.663105468862617
no_action,0.009379999999999944,,,3.608747530067084
strengthen,0.046458999764818695,,,4.880225512267623
strengthen,0.056973999412275905,,,5.138557807240076
no_action,6.099999999997774e-5,,,2.44712711053583
no_action,2.199999999996649e-5,,,2.2206981423627528
no_action,4.899999999996574e-5,,,2.3968576238246295
no_action,0.0,,,1.0
strengthen,0.044421999833114484,,,4.813021740741614
no_action,0.00023200000000000998,,,2.780745472684511
strengthen,0.03564200012748692,,,4.074073151176085
strengthen,0.035684000126078745,,,4.092179155833305
no_action,4.000000000004e-6,,,1.8656982107702684
no_action,7.100000000004325e-5,,,2.482489391094664
no_action,0.02791100000000002,,,3.938512832520713
no_action,0.0,,,1.0
no_action,0.0,,,1.0323698043048806
no_action,1.0000000000287557e-6,,,1.60173169128185
no_action,5.999999999950489e-6,,,1.929311325695127
no_action,1.4999999999987246e-5,,,2.16012795486993
no_action,6.799999999995698e-5,,,2.468479700298262
no_action,1.0000000000287557e-6,,,1.4989174676491241
no_action,0.023035000000000028,,,3.8699685126951553
no_action,0.02793800000000002,,,3.938947860925813
no_action,0.002793999999999963,,,3.345994517826225
no_action,0.006556000000000006,,,3.5238974931935743
no_action,0.00011399999999994748,,,2.593360955912227
no_action,0.0,,,1.0267185427907313
no_action,1.4999999999987246e-5,,,2.1446489234923605
no_action,0.0006129999999999747,,,3.0420817772605826
no_action,1.0999999999983245e-5,,,2.082367517949461
no_action,1.0000000000287557e-6,,,1.394800540347506
no_action,1.0000000000287557e-6,,,1.439792513677767
no_action,0.0,,,1.2003706711188558
no_action,1.0000000000287557e-6,,,1.4760292963952975
no_action,0.010450999999999988,,,3.6357942472994202
no_action,0.00028399999999995096,,,2.8415869021807545
no_action,0.0017000000000000348,,,3.2489677085705653
no_action,0.0,,,1.1866012887970059
no_action,0.0,,,1.0
no_action,0.0,,,1.0
no_action,2.4000000000024002e-5,,,2.2630189457824863
no_action,0.0,,,1.0
replace,0.08500000089406967,,,6.535891094813891
no_action,0.0,,,1.0
replace,0.08500000089406967,,,5.811140976579821
no_action,0.00012999999999996348,,,2.6318931059862805
no_action,0.0043999999999999595,,,3.434916183235449
no_action,1.4999999999987246e-5,,,2.145526377622066
replace,0.08500000089406967,,,7.702487416595987
strengthen,0.08487499847682194,,,5.588258401898651
strengthen,0.05415799950668961,,,5.079195643745039
no_action,0.010078999999999949,,,3.6272087628174865
no_action,0.0,,,1.0
strengthen,0.03701800008135285,,,4.379425812705083
no_action,0.0,,,1.0121776078756954
no_action,0.00018099999999998673,,,2.7146636295182094
no_action,0.001458999999999988,,,3.2223339437744905
no_action,0.0008409999999999807,,,3.114429385168348
strengthen,0.049491999663129393,,,4.96749704278833
replace,0.08500000089406967,,,8.85783975501661
no_action,0.0,,,1.0
no_action,0.007763999999999993,,,3.562557256067011
no_action,9.40000000000385e-5,,,2.554663306119908
no_action,4.000000000004e-6,,,1.8860104025854703
no_action,0.00038800000000005497,,,2.9257468281420964
strengthen,0.03970699999119716,,,4.601782522314698
no_action,0.00016199999999999548,,,2.6800343189324582
no_action,0.0011139999999999484,,,3.1687396856423518
no_action,4.000000000004e-6,,,1.8570692820894843
no_action,0.010982999999999965,,,3.6491489807906428
no_action,0.00020799999999998597,,,2.7537109008602187
no_action,1.0999999999983245e-5,,,2.0737573767331217
no_action,0.00031800000000004047,,,2.8711658001686415
strengthen,0.0356480001272857,,,4.07712800606295
replace,0.08500000089406967,,,5.995753479575452
no_action,3.2999999999949736e-5,,,2.3145964674817465
no_action,0.0025969999999999605,,,3.3332818467229375
no_action,0.00048000000000003595,,,2.982814342768865
replace,0.08500000089406967,,,9.60441983190135
strengthen,0.03567300012644756,,,4.084206786387802
no_action,0.003917999999999977,,,3.4135712426745264
no_action,3.6000000000036e-5,,,2.328868089542799
no_action,0.00023799999999996047,,,2.791147402003889
no_action,9.099999999995223e-5,,,2.548858606804482
no_action,1.4999999999987246e-5,,,2.1572371740072724
replace,0.08500000089406967,,,6.416327718907086
no_action,0.0,,,1.1141401764494139
no_action,0.0,,,1.0589459748176344
no_action,1.4999999999987246e-5,,,2.1556088906904574
no_action,2.199999999996649e-5,,,2.2286361851504126
no_action,1.6000000000016e-5,,,2.1773462507194523
no_action,1.0999999999983245e-5,,,2.1027039820127285
no_action,0.0,,,1.0
no_action,1.0000000000287557e-6,,,1.5620178711037889
no_action,1.8999999999991246e-5,,,2.20518966197356
strengthen,0.06327399920105191,,,5.257757287447502
no_action,1.0000000000287557e-6,,,1.583269534905032
strengthen,0.044161999841831626,,,4.80286552897491
no_action,1.0000000000287557e-6,,,1.3519025959990725
no_action,0.00020100000000000673,,,2.7429754971120395
no_action,0.00017500000000003624,,,2.7004717312251105
no_action,0.013198000000000043,,,3.6987660940360336
no_action,0.025260999999999978,,,3.902470162204323
no_action,2.9999999999752447e-6,,,1.797461238455773
no_action,1.999999999946489e-6,,,1.622946750012937
no_action,2.9999999999752447e-6,,,1.7586648453427862
no_action,0.0,,,1.0
no_action,0.010853000000000002,,,3.6458155295264225
no_action,9.99999999995449e-6,,,2.0556166497248225
no_action,0.0006789999999999852,,,3.0648790348273365
no_action,0.0007120000000000459,,,3.079082396800845
no_action,1.0000000000287557e-6,,,1.3507136018435602
no_action,2.9999999999752447e-6,,,1.8247697197976283
no_action,0.0004410000000000247,,,2.9585928875051204
no_action,0.0,,,1.0
no_action,0.0,,,1.0
no_action,0.0,,,1.1496174690114784
no_action,1.0000000000287557e-6,,,1.399357098997273
no_action,1.0000000000287557e-6,,,1.5763719835210002
no_action,2.9999999999752447e-6,,,1.8139490965876652
no_action,0.0,,,1.071660097928971
no_action,0.00036199999999997345,,,2.9048886503564573
no_action,0.00044200000000005346,,,2.958933813649452
no_action,7.500000000004725e-5,,,2.495287914523668
no_action,0.000132000000000021,,,2.634162626146132
no_action,5.000000000032756e-6,,,1.9104777286888042
no_action,0.0,,,1.0
no_action,1.0000000000287557e-6,,,1.564477367975956
no_action,2.4000000000024002e-5,,,2.258572778647197
no_action,1.0000000000287557e-6,,,1.5166513550874123
no_action,0.0,,,1.0
no_action,0.0,,,1.026935200131188
no_action,0.0,,,1.0
no_action,0.0,,,1.0543368974146932
no_action,0.00018600000000001948,,,2.7216179159085243
no_action,1.0999999999983245e-5,,,2.1028131439401823
no_action,5.3999999999998494e-5,,,2.4196394514947053
no_action,0.0,,,1.0
no_action,0.0,,,1.0
no_action,0.0,,,1.0
no_action,1.999999999946489e-6,,,1.6555170190454056
no_action,0.0,,,1.0
strengthen,0.05111199960881473,,,5.0080701624270345
no_action,0.0,,,1.0
strengthen,0.037512000064790205,,,4.433910755812433
no_action,5.999999999950489e-6,,,1.9402945786910093
no_action,0.0001020000000000465,,,2.5646752659993113
no_action,1.0000000000287557e-6,,,1.5651515472068769
replace,0.08500000089406967,,,5.934887587001597
strengthen,0.03626000010676686,,,4.25763868893638
no_action,0.022101000000000037,,,3.8556389941845617
no_action,0.00018099999999998673,,,2.7149049540671
no_action,0.0,,,1.0
no_action,0.0022499999999999742,,,3.3046336482785477
no_action,0.0,,,1.0
no_action,5.999999999950489e-6,,,2.0043939495335543
no_action,4.899999999996574e-5,,,2.398885993438563
no_action,3.2999999999949736e-5,,,2.3148597312450767
no_action,0.016749000000000014,,,3.767554590284211
replace,0.08500000089406967,,,6.855297071422576
no_action,0.0,,,1.0
no_action,0.00015100000000001224,,,2.6643689866217493
no_action,4.000000000004e-6,,,1.880548175404139
