a_opt1,a_opt2,a_opt3,u_opt,meas
replace,replace,strengthen,0.1590794961117398,65.17522349400663
replace,replace,strengthen,0.15340417149630878,61.55047296319149
no_action,no_action,no_action,0.06395998183137841,43.89142967685631
strengthen,no_action,no_action,0.1045016452543566,49.3152081866692
strengthen,strengthen,no_action,0.1264067184233718,53.52713526935686
replace,replace,strengthen,0.15433640198241746,62.12491656803157
replace,strengthen,strengthen,0.15135669497377613,60.21148865104991
strengthen,strengthen,no_action,0.12537787131168968,53.29888696164677
replace,strengthen,no_action,0.13970291680832725,56.885577564623695
no_action,no_action,no_action,0.06829730210942676,44.38343061140606
replace,replace,strengthen,0.1531548124000245,61.188266728377585
replace,strengthen,no_action,0.14377299793630285,58.23717790178398
no_action,no_action,no_action,0.06384812273404306,43.8600766674772
strengthen,no_action,no_action,0.0979279300389094,48.27584322083166
strengthen,strengthen,no_action,0.1170550481080715,51.704981542621574
replace,strengthen,no_action,0.1454627122999095,58.704860874540316
replace,strengthen,no_action,0.14040045759062222,57.14704449564954
strengthen,strengthen,no_action,0.11646615584170372,51.51915329738213
strengthen,strengthen,no_action,0.13135299646329537,54.439255652816
no_action,no_action,no_action,0.06740441905226492,44.26063898156751
no_action,no_action,no_action,0.07522180070902551,45.49200130524749
no_action,no_action,no_action,0.06838547869513846,44.414194012478404
no_action,no_action,no_action,0.03948373622910029,39.16333730509093
no_action,no_action,no_action,0.048019262503358855,40.77607947383984
no_action,no_action,no_action,0.05413832296535703,42.028481725453965
no_action,no_action,no_action,0.07011171530194159,44.585002872651735
no_action,no_action,no_action,0.06490087969358682,44.01605156260199
no_action,no_action,no_action,0.05402612465517175,41.96061286426731
no_action,no_action,no_action,0.05859685384756764,43.02710316640834
no_action,no_action,no_action,0.04042588704845885,39.309632116499
strengthen,strengthen,no_action,0.11841226469361285,52.071668092759325
strengthen,strengthen,no_action,0.10999845932759364,50.3622332337703
no_action,no_action,no_action,0.054150133148207054,42.03421619827271
no_action,no_action,no_action,0.07011759019141552,44.59207389724784
strengthen,no_action,no_action,0.08439182479636842,46.57842162447945
strengthen,strengthen,no_action,0.11125503259177491,50.63314123538004
strengthen,strengthen,no_action,0.10766271538482236,49.73076730546557
strengthen,no_action,no_action,0.08353048198346356,46.470779564594814
strengthen,no_action,no_action,0.09675753996149927,48.162265335274405
no_action,no_action,no_action,0.05531823814852377,42.26624417951571
replace,strengthen,no_action,0.14190452372320947,57.71498312823798
replace,strengthen,no_action,0.13549123196163704,55.28729798706985
no_action,no_action,no_action,0.061570720190078136,43.46011246657003
strengthen,no_action,no_action,0.08767169695524016,47.09270080204887
strengthen,strengthen,no_action,0.10871702825972414,49.91364881140747
replace,strengthen,no_action,0.13681282591869529,55.672032934221015
strengthen,strengthen,no_action,0.1311049639573746,54.390510114026256
